"rule_id","description","long_description","persona","portfolio","tables_to_join","joins","filters","select_columns","aggregations","conditional_aggregations","groupby_columns","having_conditions","orderby_columns","raw_where","is_distinct","usecase","dashboard_link","sector","banking_division"
"ESG_Emission_Intensity","Emission intensity calculation across sectors","Compute EVIC, absolute emissions, attribution factor, financed emissions, attributed activity, and emission intensity using inline derived expressions","ESG Analyst","ESG","[""ESG_Emission_Intensity""]","[]","{}","{""ESG_Emission_Intensity"": {""sector"": ""sector"", ""cash_usd"": ""cash_usd"", ""evic_usd"": {""alias"": ""evic_usd"", ""expression"": ""(market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd)""}, ""scope1_tco2e"": ""scope1_tco2e"", ""scope2_tco2e"": ""scope2_tco2e"", ""scope3_tco2e"": ""scope3_tco2e"", ""activity_unit"": ""activity_unit"", ""activity_value"": ""activity_value"", ""market_cap_usd"": ""market_cap_usd"", ""total_debt_usd"": ""total_debt_usd"", ""counterparty_id"": ""counterparty_id"", ""counterparty_name"": ""counterparty_name"", ""absolute_emissions"": {""alias"": ""absolute_emissions"", ""expression"": ""(coalesce(scope1_tco2e,0) + coalesce(scope2_tco2e,0) + coalesce(scope3_tco2e,0))""}, ""attribution_factor"": {""alias"": ""attribution_factor"", ""expression"": ""(outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0))""}, ""emission_intensity"": {""alias"": ""emission_intensity"", ""expression"": ""(((outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0)) * (coalesce(scope1_tco2e,0) + coalesce(scope2_tco2e,0) + coalesce(scope3_tco2e,0))) / nullif(((outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0)) * activity_value),0))""}, ""financed_emissions"": {""alias"": ""financed_emissions"", ""expression"": ""((outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0)) * (coalesce(scope1_tco2e,0) + coalesce(scope2_tco2e,0) + coalesce(scope3_tco2e,0)))""}, ""attributed_activity"": {""alias"": ""attributed_activity"", ""expression"": ""((outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0)) * activity_value)""}, ""preferred_equity_usd"": ""preferred_equity_usd"", ""minority_interest_usd"": ""minority_interest_usd"", ""outstanding_amount_usd"": ""outstanding_amount_usd""}}","[]","{}","{}","[]","{""ESG_Emission_Intensity"": {""emission_intensity"": ""desc""}}","activity_value > 0",False,"Cross-sector emission intensity calculation for ESG reporting and portfolio benchmarking","","Banking","Corportate Institution Banking"
"ESG_Facilitated_Emissions","Facilitated emissions calculation for capital market transactions","Compute facilitated emissions for underwriting/arranging activities using HSBC attribution methodology. The logic calculates total emissions (Scope 1+2+3), EVIC-based attribution factor, adjusted weighting factor, and final facilitated emissions for ESG reporting and portfolio-level financed impact tracking.","ESG Analyst","ESG","[""esg_facilitated_Emissions_data""]","[]","{}","{""esg_facilitated_Emissions_data"": {""company_id"": ""company_id"", ""company_name"": ""company_name"", ""transaction_id"": ""transaction_id"", ""total_emissions"": {""alias"": ""total_emissions"", ""expression"": ""(coalesce(scope1_emissions_tco2e,0) + coalesce(scope2_emissions_tco2e,0) + coalesce(scope3_emissions_tco2e,0))""}, ""company_evic_usd"": ""company_evic_usd"", ""transaction_type"": ""transaction_type"", ""weighting_factor"": ""weighting_factor"", ""attribution_factor"": {""alias"": ""attribution_factor"", ""expression"": ""(hsbc_allocated_amount_usd / nullif(company_evic_usd,0))""}, ""facilitated_emissions"": {""alias"": ""facilitated_emissions"", ""expression"": ""((hsbc_allocated_amount_usd / nullif(company_evic_usd,0)) * weighting_factor * (coalesce(scope1_emissions_tco2e,0) + coalesce(scope2_emissions_tco2e,0) + coalesce(scope3_emissions_tco2e,0)))""}, ""scope1_emissions_tco2e"": ""scope1_emissions_tco2e"", ""scope2_emissions_tco2e"": ""scope2_emissions_tco2e"", ""scope3_emissions_tco2e"": ""scope3_emissions_tco2e"", ""hsbc_allocated_amount_usd"": ""hsbc_allocated_amount_usd"", ""adjusted_attribution_factor"": {""alias"": ""adjusted_attribution_factor"", ""expression"": ""((hsbc_allocated_amount_usd / nullif(company_evic_usd,0)) * weighting_factor)""}}}","[]","{}","{}","[]","{""ESG_Facilitated_Emissions"": {""facilitated_emissions"": ""desc""}}","company_evic_usd > 0 AND hsbc_allocated_amount_usd > 0",False,"Facilitated emissions calculation for underwriting, bond issuance, and capital markets ESG reporting","","Banking","Corportate Institution Banking"
"ESG_Financed_Emission","Financed emissions calculation","Compute EVIC, absolute emissions, attribution factor, and financed emissions using inline derived expressions","ESG Analyst","ESG","[""esg_financed_emissions""]","[]","{}","{""esg_financed_emissions"": {""sector"": ""sector"", ""cash_usd"": ""cash_usd"", ""evic_usd"": {""alias"": ""evic_usd"", ""expression"": ""(market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd)""}, ""scope1_tco2e"": ""scope1_tco2e"", ""scope2_tco2e"": ""scope2_tco2e"", ""scope3_tco2e"": ""scope3_tco2e"", ""market_cap_usd"": ""market_cap_usd"", ""total_debt_usd"": ""total_debt_usd"", ""counterparty_id"": ""counterparty_id"", ""counterparty_name"": ""counterparty_name"", ""absolute_emissions"": {""alias"": ""absolute_emissions"", ""expression"": ""(coalesce(scope1_tco2e,0) + coalesce(scope2_tco2e,0) + coalesce(scope3_tco2e,0))""}, ""attribution_factor"": {""alias"": ""attribution_factor"", ""expression"": ""(outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0))""}, ""financed_emissions"": {""alias"": ""financed_emissions"", ""expression"": ""((outstanding_amount_usd / nullif((market_cap_usd + total_debt_usd + preferred_equity_usd + minority_interest_usd - cash_usd),0)) * (coalesce(scope1_tco2e,0) + coalesce(scope2_tco2e,0) + coalesce(scope3_tco2e,0)))""}, ""preferred_equity_usd"": ""preferred_equity_usd"", ""minority_interest_usd"": ""minority_interest_usd"", ""outstanding_amount_usd"": ""outstanding_amount_usd""}}","[]","{}","{}","[]","{""financed_emissions_raw"": {""financed_emissions"": ""desc""}}","",False,"Counterparty-level financed emissions with EVIC attribution","","Banking","Corportate Institution Banking"
"FORMX_A.1","1. Paid-up capital (including forfeited shares)",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Capital""}, ""product_level_2"": {""eq"": ""Paid-up Capital""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}","{}","{}","{}","{}","{}",NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.2.1","2.1 Reserve fund",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Reserves""}, ""product_level_3"": {""eq"": ""Reserve Fund""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}","{}","{}","{}","{}","{}",NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.2.2","2.2 Other reserves",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Reserves""}, ""product_level_3"": {""eq"": ""Other Reserves""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}","{}","{}","{}","{}","{}",NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.2.3","2.3 Shares premium account",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Capital""}, ""product_level_2"": {""eq"": ""Share Premium""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}","{}","{}","{}","{}","{}",NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.3.1.1","3.1.1 From banks (including co-operative banks)",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Current Account""}}, ""counterparty"": {""Sector"": {""eq"": ""Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.3.1.2","3.1.2 From others",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Current Account""}}, ""counterparty"": {""Sector"": {""ne"": ""Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.3.2","3.2 Savings Deposits",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Savings Account""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
